Date,WrappedBitcoin Return,WrappedBitcoin Price,Famala Index,US Treasury Yield,Famala Index Return
2020-08-24,0.01090344922223079,11749.6257745,8457.213518213031,0.65,0.004729982217301217
2020-08-25,-0.025898547008941016,11449.234182,8209.30543179557,0.69,-0.02931321124665692
2020-08-26,0.015321849818022218,11626.0084246,8304.849309108075,0.69,0.011638484900616804
2020-08-27,-0.012710104179696874,11479.1757523,8213.012151424322,0.74,-0.011058256961150778
2020-08-28,0.016983331047329162,11675.7952957,8336.717545848325,0.74,0.01506212241541004
2020-08-29,0.052064252622119125,12299.7898074,8259.759350789143,0.74,-0.009231234551961877
2020-08-30,-0.046551970436761105,11740.3332865,8336.227199184552,0.74,0.009257878486266396
2020-08-31,0.008925053330432529,11845.5853788,8296.108536102276,0.72,-0.004812568338612486
2020-09-01,-0.008048505300000786,11750.6287641,8396.425107335748,0.68,0.012092003232229098
2020-09-02,-0.021930418294515575,11495.7377094,7927.8095574402705,0.66,-0.05581131778166638
2020-09-03,-0.08446197652389405,10564.65881,7158.907751535653,0.63,-0.09698792589978415
2020-09-04,-0.0015006419661694561,10548.8169291,7374.843195857947,0.72,0.030163182962648673
2020-09-05,-0.026530051833243126,10272.636015,7321.888934453149,0.72,-0.007180391501007008
2020-09-06,0.002647853644109435,10299.8724949,7312.310732468789,0.72,-0.001308159966656936
2020-09-07,0.006821195784017439,10370.3701074,7401.515890694132,0.72,0.012199311748233915
2020-09-08,-0.021783137449150246,10146.9135384,7252.863075269509,0.69,-0.020084104070022122
2020-09-09,0.01151031166310086,10264.3824305,7290.190477366621,0.71,0.0051465747677478454
2020-09-10,0.011323300585441714,10381.2696437,7344.015236755657,0.68,0.007383176002896187
2020-09-11,0.0016191214465105367,10398.0917949,7350.385587658505,0.67,0.0008674207089012616
2020-09-12,0.007265942624441198,10473.9188773,7330.879470069379,0.67,-0.0026537543311846525
2020-09-13,-0.010231540761729422,10367.3009125,7312.927949916539,0.67,-0.0024487539627588927
2020-09-14,0.031666053383146764,10700.845567,7586.43346771561,0.68,0.037400275193767374
2020-09-15,0.011382740981092801,10823.3463953,7747.7467024318985,0.68,0.021263382247107752
2020-09-16,0.01901359328796324,11031.1059707,7912.9849045473675,0.69,0.02132725919700024
2020-09-17,-0.003558412212811806,10991.9225053,7803.172600024166,0.69,-0.013877481866557765
2020-09-18,-0.003879757627237828,10949.3591313,7810.836646583073,0.70,0.0009821705800642378
2020-09-19,0.01775909972795421,11145.546794,7950.830165475538,0.70,0.01792298638759859
2020-09-20,-0.01606380850718995,10967.9372269,7882.884787357856,0.70,-0.008545696072432442
2020-09-21,-0.03872268853219401,10551.3470097,7614.033867275891,0.68,-0.03410565133631458
2020-09-22,-0.0011592046745724238,10539.1229254,7664.069864425604,0.68,0.0065715490660950265
2020-09-23,-0.026377665572733987,10264.75990136,7514.459076269336,0.68,-0.01952106267333464
2020-09-24,0.04511220177589242,10738.42963538,7830.873698402025,0.67,0.04210743832938376
2020-09-25,-0.004151097024724629,10693.94576438,7717.119654198224,0.66,-0.014526354093415334
2020-09-26,0.005852062219145087,10756.7108739,7764.287531403967,0.66,0.006112109092423118
2020-09-27,0.0024344108664755056,10782.92902767,7772.054653423841,0.66,0.0010003650674268625
2020-09-28,-0.0020151944679187577,10761.22120883,7728.010604255597,0.67,-0.005666976254321764
2020-09-29,0.007637749983712339,10843.72740571,7827.237225085629,0.66,0.012839866029090373
2020-09-30,-0.005963031414216864,10779.25832515,7777.835074973677,0.69,-0.006311569292115196
2020-10-01,-0.014747169889561176,10621.46116192,7662.508184353954,0.68,-0.014827633847727725
2020-10-02,-0.004531473025083864,10573.4391845,7671.409627462561,0.70,0.001161687908768943
2020-10-03,-0.001577431459741603,10556.77345687,7643.493974820995,0.70,-0.0036389208759797344
2020-10-04,0.010389501303650182,10667.024805,7703.8032205376385,0.70,0.00789027189859929
2020-10-05,0.012254833937062764,10798.55169663,7798.871813846747,0.78,0.01234047529351008
2020-10-06,-0.01737590584632806,10612.53783883,7704.844057276186,0.76,-0.01205658444130554
2020-10-07,0.005436773300091338,10670.3929312,7749.252253519435,0.81,0.005763672296691284
2020-10-08,0.022102378209962633,10908.85962413,7922.494036982404,0.78,0.02235593548839365
2020-10-09,0.01479298157604647,11071.4336965,7987.064964105798,0.79,0.008150328270614644
2020-10-10,0.021012335196615863,11306.53170154,8170.641756156384,0.79,0.02298426178772649
2020-10-11,0.00641871926843832,11379.33856788,8218.271518101314,0.79,0.005829378323806912
2020-10-12,0.014261487085742644,11542.78760073,8326.301978863046,0.79,0.013145155952050026
2020-10-13,-0.009975272478113787,11428.21753311,8241.265076859192,0.74,-0.01021304562574441
2020-10-14,0.00024093296341583565,11430.97129915,8272.339124750355,0.73,0.0037705434300877435
2020-10-15,0.005294173749872356,11491.64932562,8344.048085357525,0.74,0.00866852283565364
2020-10-16,-0.015203027543476572,11318.26280402,8229.807443426935,0.76,-0.013691273200002763
2020-10-17,0.0037561189795169542,11360.85548727,8250.70669168423,0.76,0.0025394577456350803
2020-10-18,0.010958361999572607,11486.036491,8330.519894627381,0.76,0.009673499001436254
2020-10-19,0.021489284987048368,11735.53436679,8563.778603545485,0.78,0.02800049839248801
2020-10-20,0.015591624379430475,11919.94429993,8797.544048716432,0.81,0.027296997738144074
2020-10-21,0.07605543337857879,12861.88674374,9519.826894926617,0.83,0.08210050921149589
2020-10-22,0.006162937831659599,12941.39851352,9549.812686893609,0.87,0.00314982533799773
2020-10-23,-0.002097603974528565,12914.28103537,9529.809582139214,0.85,-0.0020946070263605393
2020-10-24,0.014767326468123326,13106.40553066,9663.237141390515,0.85,0.014001072959670733
2020-10-25,-0.0058329080277746866,13030.17959817,9630.8654652677,0.85,-0.003349982583388923
2020-10-26,0.001875029827626958,13054.63449324,9723.419528384115,0.81,0.00961015014177049
2020-10-27,0.0421973898257263,13617.29388511,10217.354611876695,0.79,0.050798495534488716
2020-10-28,-0.029166222229262562,13225.86486601,9958.00894053843,0.79,-0.025382858987472275
2020-10-29,0.014095663885031388,13413.61231564,10145.51850302014,0.85,0.01883002552029953
2020-10-30,0.006662139564157187,13503.27401068,10278.914469844232,0.88,0.013148265096986774
2020-10-31,0.015586853880063544,13715.39643563,10476.858516668626,0.88,0.01925729097222398
2020-11-01,-0.004837828849423051,13649.20393816,10391.508591576843,0.88,-0.008146518821075205
2020-11-02,-0.016028238845067187,13432.17517808,10304.421007311947,0.87,-0.008380648824703671
2020-11-03,0.03520843462637641,13913.52510466,10668.501409493821,0.90,0.03533244632799125
2020-11-04,0.010952293865699072,14066.74765791,10797.885770057239,0.78,0.012127697752214686
2020-11-05,0.09764683255908709,15509.62071378,12070.863789973291,0.79,0.11789141384010995
2020-11-06,0.0015497401717642551,15533.67523036,11836.877135751092,0.83,-0.01938441674874675
2020-11-07,-0.04679732408858269,14823.48783502,11270.289183280163,0.83,-0.04786633720811844
2020-11-08,0.041516945362628954,15451.86771954,11768.773370380386,0.83,0.04422993758134796
2020-11-09,-0.010228713084186325,15294.62058694,11682.23463092582,0.96,-0.0073532505666535596
2020-11-10,-0.0033448367864387977,15243.54803965,11605.88438574334,0.98,-0.006535585664437906
2020-11-11,0.029309523749889193,15696.9410833,11944.678380587076,0.98,0.029191570722513
2020-11-12,0.03319562377125531,16226.75594981,12501.877695169795,0.88,0.04664833131784433
2020-11-13,0.00034891578464220894,16232.41870895,12439.176385562807,0.89,-0.00501535138447346
2020-11-14,-0.011928329381307765,16039.94330911,12261.616499820362,0.89,-0.014274247766799482
2020-11-15,-0.009560945256322666,15887.31707739,12216.374844695232,0.89,-0.003689697449418086
2020-11-16,0.04780134605727058,16665.1959337,12827.53131691985,0.91,0.050027645680011494
2020-11-17,0.057662002230227966,17654.38988443,13560.847284254107,0.87,0.057167349602724654
2020-11-18,0.007830805250348698,17793.18068606,13741.953445665176,0.88,0.013355077128650885
2020-11-19,-0.0002846481347710939,17788.11661114,13755.830494549191,0.86,0.001009830875856447
2020-11-20,0.04587449610600697,18623.14429884,14296.460595105333,0.83,0.03930188735390196
2020-11-21,-0.001161501086007616,18601.52605375,13908.557224291271,0.83,-0.027132825515349412
2020-11-22,-0.010992298612898048,18398.17223527,13685.366409187225,0.83,-0.016047014187369753
2020-11-23,-0.0021344543827784453,18358.94405618,13219.816952431314,0.86,-0.034018048390971785
2020-11-24,0.04202245322880567,19146.87129614,13740.551047707224,0.88,0.039390416459596976
2020-11-25,-0.024137309101964974,18690.25031531,13624.902533299954,0.88,-0.008416584895739512
2020-11-26,-0.08752837350051046,17123.87418362,12586.35486866389,0.88,-0.0762242270796287
