Date,Tron Return,Tron Price,Famala Index,US Treasury Yield,Famala Index Return
2018-03-21,-0.02675014982954649,0.0371064990758895,5098.712842117788,2.89,0.0025546660518660264
2018-03-22,0.0218026114437925,0.037924401462078,5009.31815443372,2.83,-0.017532795129316714
2018-03-23,0.08132052004516807,0.0411373004317283,5149.101205975292,2.82,0.02790460642190404
2018-03-24,0.19069002656943582,0.0497796013951301,5004.116926323857,2.82,-0.02815720139335918
2018-03-25,-0.09405767642160005,0.0453108996152877,4874.520825948751,2.82,-0.025897896128960093
2018-03-26,-0.020799284955330784,0.0443781986832618,4774.20824808104,2.85,-0.020578961799426938
2018-03-27,-0.02980323383497986,0.0430750995874404,4583.973794709995,2.78,-0.03984628308735989
2018-03-28,0.12513964965858165,0.0488172993063926,4670.361079444802,2.77,0.018845501436875644
2018-03-29,-0.12683114221642,0.0430022999644279,4242.769784758394,2.74,-0.09155422619641197
2018-03-30,-0.0409384392717465,0.0412774011492729,4004.3478273764104,2.74,-0.05619488435089832
2018-03-31,-0.1947785407474576,0.0339719988405704,4068.0586255499047,2.74,0.01591040561909347
2018-04-01,-0.055074452797617836,0.032151598483324,4030.4279949980046,2.74,-0.009250267514719844
2018-04-02,0.10622797871533017,0.0357550010085105,4173.741523850956,2.73,0.03555789336289136
2018-04-03,-0.027049731703536906,0.0348008014261722,4338.3475704826715,2.79,0.03943848599417818
2018-04-04,-0.14390998246641712,0.0301363002508878,4018.073986939666,2.79,-0.07382386457970509
2018-04-05,0.283488966309544,0.04001360014081,3965.740645551284,2.83,-0.013024484257503995
2018-04-06,-0.08051200602362814,0.0369183011353015,3887.6913500549954,2.77,-0.0196808874992477
2018-04-07,0.00392792520272497,0.0370635986328125,4062.727388485539,2.77,0.045023131383119586
2018-04-08,0.015219425312560306,0.0376319997012615,4105.3838623548045,2.77,0.010499467424312346
2018-04-09,-0.05113104822344428,0.0357562005519866,3927.2433500285615,2.78,-0.04339192589510094
2018-04-10,0.03223552819730455,0.0369275994598865,3947.0009495834543,2.80,0.005030907889817691
2018-04-11,-0.017940744008538855,0.0362709984183311,3938.622984072683,2.79,-0.002122615529559377
2018-04-12,0.0869087244994397,0.0395643003284931,4439.364149198855,2.83,0.1271360998884912
2018-04-13,-0.01421940271776933,0.0390057004988193,4446.517797916374,2.82,0.0016114129134484196
2018-04-14,0.02543664896740169,0.0400106012821197,4497.315165436312,2.82,0.011424078307690964
2018-04-15,0.07138102026752294,0.0429710000753402,4636.374344051205,2.82,0.03092048777982462
2018-04-16,-0.0407264921542582,0.0412560999393463,4467.245487678745,2.83,-0.03647868869550286
2018-04-17,0.020628766470091122,0.0421160012483596,4353.159881972387,2.82,-0.025538244097178357
2018-04-18,0.12074818227853427,0.0475212000310421,4427.301772963487,2.87,0.017031740850627045
2018-04-19,0.03861457303884865,0.0493921004235744,4389.394054923071,2.92,-0.008562262069396153
2018-04-20,0.0831233128465186,0.0536732003092765,4591.914081627955,2.96,0.04613849296071765
2018-04-21,6.517095283753598e-05,0.0536766983568668,4699.146207616274,2.96,0.023352380746266624
2018-04-22,-0.023690758680646105,0.0524200014770031,4609.614785245162,2.96,-0.01905269987684177
2018-04-23,0.11051600431576648,0.0585455000400543,4652.597663015122,2.98,0.00932461382837079
2018-04-24,0.2255746456930667,0.0733600035309791,5016.371787519564,3.00,0.07818731617311142
2018-04-25,-0.0466750352751065,0.0700146034359932,4663.483200218652,3.03,-0.07034737500495439
2018-04-26,0.06297948888965832,0.074565902352333,4837.809505566189,3.00,0.03738113720220181
2018-04-27,-0.007119662429632438,0.0740369036793708,4664.1798958832005,2.96,-0.035890129506591165
2018-04-28,0.09802637795320354,0.0816621035337448,4772.713271704393,2.96,0.023269551827747644
2018-04-29,0.08767643857558467,0.0891451984643936,4761.570902446147,2.96,-0.002334598502764769
2018-04-30,0.05064997122898683,0.0937767028808593,4743.84413757718,2.95,-0.0037228816355249477
2018-05-01,-0.0044491644618875675,0.0933604016900062,4621.812593212771,2.97,-0.025724189249340227
2018-05-02,-0.021255751066160303,0.0913968980312347,4658.942118450062,2.97,0.008033541925048121
2018-05-03,-0.045398415962464696,0.0873403996229171,4921.523486784203,2.94,0.05636072774853379
2018-05-04,-0.006085548009820343,0.0868104994297027,4892.121020557931,2.95,-0.005974261080989749
2018-05-05,0.0033545331685355165,0.0871021971106529,4958.445115554819,2.95,0.013557329166260812
2018-05-06,-0.02704599347344498,0.0847780033946037,4879.543621694076,2.95,-0.015912547587393
2018-05-07,-0.02015749142512633,0.0830862000584602,4750.851139309161,2.95,-0.026373876813552403
2018-05-08,-0.00018294945238349258,0.0830710008740425,4663.562132316648,2.97,-0.01837334078314362
2018-05-09,-0.025169990232484393,0.0810061991214752,4752.6154106127715,3.00,0.019095548803567872
2018-05-10,-0.0962367279919006,0.0735737979412078,4642.91921384868,2.97,-0.0230812273425567
2018-05-11,-0.10964688216877176,0.0659331977367401,4390.001037328718,2.97,-0.05447395590377053
2018-05-12,0.041555370421668,0.0687308013439178,4401.880216568663,2.97,0.0027059627409959743
2018-05-13,0.09542949411258694,0.0756129026412963,4448.933196173412,2.97,0.010689291232333444
2018-05-14,-0.03774342049695206,0.0728121995925903,4466.568771940719,3.00,0.00396400102893767
2018-05-15,-0.06009398491471971,0.0685655027627945,4400.0326879567065,3.08,-0.014896464687165769
2018-05-16,0.048240247159416424,0.0719541981816291,4300.780212715548,3.09,-0.022557213157261616
