Date,Cardano Return,Cardano Price,Famala Index,US Treasury Yield,Famala Index Return
2018-04-20,0.10081315016567417,0.3012470006942749,4591.914081627955,2.96,0.04613849296071765
2018-04-21,-0.036051587583740406,0.290580004453659,4699.146207616274,2.96,0.023352380746266624
2018-04-22,-0.017514300423496245,0.2855350077152252,4609.614785245162,2.96,-0.01905269987684177
2018-04-23,0.010236888384691523,0.2884730100631714,4652.597663015122,2.98,0.00932461382837079
2018-04-24,0.081202229203034,0.3128750026226043,5016.371787519564,3.00,0.07818731617311142
2018-04-25,-0.14127452426999035,0.2716540098190307,4663.483200218652,3.03,-0.07034737500495439
2018-04-26,0.08005347577086444,0.2942950129508972,4837.809505566189,3.00,0.03738113720220181
2018-04-27,-0.019925704445640468,0.2884890139102936,4664.1798958832005,2.96,-0.035890129506591165
2018-04-28,0.21552398081091637,0.3578740060329437,4772.713271704393,2.96,0.023269551827747644
2018-04-29,0.01987249670059873,0.3650569915771484,4761.570902446147,2.96,-0.002334598502764769
2018-04-30,-0.06139639347077915,0.3433179855346679,4743.84413757718,2.95,-0.0037228816355249477
2018-05-01,0.043809790390987174,0.35869300365448,4621.812593212771,2.97,-0.025724189249340227
2018-05-02,0.03755540480742326,0.3724200129508972,4658.942118450062,2.97,0.008033541925048121
2018-05-03,-0.007306034437674115,0.3697090148925781,4921.523486784203,2.94,0.05636072774853379
2018-05-04,-0.02610682603525678,0.360181987285614,4892.121020557931,2.95,-0.005974261080989749
2018-05-05,0.016947020413382186,0.3663380146026611,4958.445115554819,2.95,0.013557329166260812
2018-05-06,-0.04556327832397599,0.3500210046768188,4879.543621694076,2.95,-0.015912547587393
2018-05-07,-0.04333742572329952,0.3351759910583496,4750.851139309161,2.95,-0.026373876813552403
2018-05-08,-0.020569523577859676,0.3283520042896271,4663.562132316648,2.97,-0.01837334078314362
2018-05-09,-0.014599692372580122,0.3235929906368255,4752.6154106127715,3.00,0.019095548803567872
2018-05-10,-0.0854547318932977,0.297089010477066,4642.91921384868,2.97,-0.0230812273425567
2018-05-11,-0.1328617885772146,0.2601270079612732,4390.001037328718,2.97,-0.05447395590377053
2018-05-12,0.040697822214967594,0.270931988954544,4401.880216568663,2.97,0.0027059627409959743
2018-05-13,0.053739340736338,0.2858900129795074,4448.933196173412,2.97,0.010689291232333444
2018-05-14,-0.04454684236949927,0.2734340131282806,4466.568771940719,3.00,0.00396400102893767
2018-05-15,-0.04978274668637027,0.2601549923419952,4400.0326879567065,3.08,-0.014896464687165769
2018-05-16,-0.014636303746170186,0.2563750147819519,4300.780212715548,3.09,-0.022557213157261616
2018-05-17,-0.05085106147693932,0.2436639964580536,4197.969949057729,3.11,-0.02390502619823587
2018-05-18,0.0076859506178921285,0.2455440014600753,4263.96168170375,3.06,0.015719915446472933
2018-05-19,-0.009300142733808069,0.243270993232727,4263.077680399479,3.06,-0.00020731924211818558
2018-05-20,0.05153253356963397,0.2561360001564026,4387.007784080252,3.06,0.029070571303584758
2018-05-21,-0.0288984174788067,0.2488400042057037,4364.132215221741,3.06,-0.005214389849391951
2018-05-22,-0.10334430975779424,0.2244080007076263,4216.471376008073,3.06,-0.033835097547832906
2018-05-23,-0.10088562743360296,0.2028730064630508,4011.6245002832766,3.01,-0.04858253678428488
2018-05-24,0.0297013926569055,0.2089889943599701,3952.54647183117,2.98,-0.014726709453473227
2018-05-25,-0.0406945844637985,0.200654998421669,3920.7307872788456,2.93,-0.008049414416520347
2018-05-26,-0.02058367273334248,0.1965669989585876,3828.359374648265,2.93,-0.023559743742234872
2018-05-27,-0.01543132204808326,0.1935569941997528,3861.0673717640516,2.93,0.008543606781636447
2018-05-28,-0.10202677217640131,0.1747830063104629,3840.648251602085,2.93,-0.0052884651304691815
2018-05-29,0.15059625571770668,0.2031899988651275,3952.335619305397,2.77,0.029080342792840403
2018-05-30,0.03839414179800816,0.2111430019140243,3912.228807187177,2.84,-0.010147623071865623
2018-05-31,0.06451544324300669,0.2252140045166015,3931.2552891545183,2.83,0.004863335685373901
2018-06-01,-0.012092519702237459,0.2225069999694824,3950.1392211277216,2.89,0.0048035374414121534
