Date,Monero Return,Monero Price,Famala Index,US Treasury Yield,Famala Index Return
2019-08-27,-0.018948897131778858,78.2083360487,8084.543539573627,1.49,-0.019696321493910644
2019-08-28,-0.07764369627197289,72.3657082829,7780.322177316879,1.47,-0.037629998622382616
2019-08-29,-0.074649240821241,67.1603674774,7583.409950300085,1.50,-0.025309006816052027
2019-08-30,0.010224878990297562,67.8505968502,7669.325694414829,1.50,0.011329434209388058
2019-08-31,-0.004651075588701771,67.5357513482,7679.984269228776,1.50,0.0013897668763381578
2019-09-01,0.06090422061007411,71.7768017093,7802.948247986144,1.50,0.016010967528936982
2019-09-02,0.019326249919391303,73.177469348,8329.476573274867,1.50,0.06747812603071078
2019-09-03,0.02364830556629286,74.928616729,8579.609311273298,1.47,0.030029826700153233
2019-09-04,-0.013451464751559483,73.9274656522,8580.557269132567,1.47,0.00011048963010745709
2019-09-05,0.027169196013729538,75.9635495935,8583.462933510587,1.57,0.0003386335277398817
2019-09-06,-0.004757092019825032,75.6030421613,8399.55187568849,1.55,-0.021426207493026185
2019-09-07,0.036259066394959134,78.3946424559,8483.028934714324,1.55,0.009938275310549423
2019-09-08,-0.013079551232508379,77.3759522416,8378.170638299971,1.55,-0.012360949988659282
2019-09-09,-0.029237550466883342,75.1464207735,8282.883004063735,1.63,-0.01137332221435526
2019-09-10,-0.0395912437886101,72.2294056542,8087.039135839564,1.72,-0.023644408369415174
2019-09-11,0.02909010869619255,74.3614269341,8160.061450700341,1.75,0.009029548841573223
2019-09-12,0.010276861719672887,75.129569322,8374.906565993826,1.79,0.02632885997139712
2019-09-13,0.023431205623818636,76.9107316085,8324.212811555646,1.90,-0.0060530531342309025
2019-09-14,-0.011412480524727413,76.0379789906,8272.154984870236,1.90,-0.0062537837347386716
2019-09-15,-0.0045728023733787515,75.6910661263,8251.21982604103,1.90,-0.002530798669451545
2019-09-16,-0.004581463168102931,75.3450834533,8154.238066087816,1.84,-0.01175362697853921
2019-09-17,-0.014191059756026742,74.2834078399,8030.434126166944,1.81,-0.015182772310236181
2019-09-18,0.09596521196518809,81.7652899809,7898.709496524041,1.80,-0.016403176661854677
2019-09-19,-0.07277402405372033,76.0262595985,7957.683899045125,1.79,0.007466333905182432
2019-09-20,-0.02692660732576822,74.0064457629,7909.020409645297,1.74,-0.0061152830417990495
2019-09-21,-0.016066938588104342,72.8268900431,7778.418635368312,1.74,-0.01651301520447621
2019-09-22,0.004954217793135924,73.1885855369,7872.930271547148,1.74,0.012150494928248455
2019-09-23,-0.06300037315972852,68.7199190949,7628.489474986965,1.72,-0.031048261337153438
2019-09-24,-0.14883777092177414,59.2165657402,6827.977061296559,1.64,-0.10493721152991088
2019-09-25,0.01087640181436533,59.8641441811,6661.508721899175,1.73,-0.024380330792408093
2019-09-26,-0.039005661617517284,57.5740571554,6340.754958182889,1.70,-0.04815031805960618
2019-09-27,0.008093562102463876,58.041927176,6430.7963352975075,1.69,0.014200418989290569
2019-09-28,-0.0010736335733549309,57.9796448545,6430.91593497981,1.69,1.859795833466478e-05
2019-09-29,-0.031806786770315745,56.1645183479,6321.076348705723,1.69,-0.017079928797799165
2019-09-30,0.011544013865205328,56.8166391301,6427.721903993101,1.68,0.016871423378585507
2019-10-01,-0.017287068642876033,55.8428869,6495.520784600799,1.65,0.010547886423894521
2019-10-02,0.003896166359408525,56.060884479,6517.127679899012,1.60,0.0033264300145782874
2019-10-03,0.0037479280207485294,56.2713908738,6423.818740671713,1.54,-0.01431749442551117
2019-10-04,0.024524516455619812,57.6684809821,6350.855131711959,1.52,-0.011358291991925786
2019-10-05,-0.020455849769787576,56.5008067992,6302.470436103398,1.52,-0.007618611132689793
2019-10-06,-0.01795339172259433,55.4954772233,6157.557907737072,1.52,-0.02299297233291277
2019-10-07,0.018869363546380306,56.5525836557,6321.6914354236405,1.56,0.026655620644725396
2019-10-08,-0.012152881634648444,55.8694661312,6298.15826248314,1.54,-0.003722607023910147
2019-10-09,0.027836608203127815,57.4465308015,6589.546072269661,1.59,0.0462655585399083
2019-10-10,-0.02637682354510275,55.9510830778,6612.793989423777,1.67,0.003527999789234182
2019-10-11,-0.026584777190849476,54.4832336745,6401.954797741954,1.76,-0.03188352639126971
2019-10-12,-0.012411151457610637,53.8112129115,6424.578468034861,1.76,0.0035338691083676493
2019-10-13,-0.005324051730469772,53.5254805322,6394.76288030587,1.76,-0.004640862879539382
2019-10-14,-0.009451085550901532,53.021989652,6393.828247487372,1.76,-0.0001461559773194817
2019-10-15,-0.015849014528359125,52.1882676556,6281.195824220534,1.77,-0.01761580369493041
2019-10-16,0.0540763505456611,55.088118771,6164.451455275125,1.75,-0.018586328497391804
2019-10-17,0.017368301948900575,56.0532630484,6175.136342191997,1.76,0.001733307009454703
2019-10-18,0.008046135302020085,56.5060945156,6086.313138372007,1.76,-0.014384006910600412
2019-10-19,-0.032518772342708634,54.6981412215,6105.159512923179,1.76,0.0030965174026870443
2019-10-20,0.031056656635583504,56.4235364367,6308.284323986335,1.76,0.03327100801104192
2019-10-21,0.024764769956421857,57.8382981563,6328.139366799122,1.80,0.0031474552815083877
2019-10-22,-0.020603643025292523,56.6588110981,6191.064658505102,1.78,-0.021661139293674452
2019-10-23,-0.06658165240303182,53.0092198941,5743.198353697097,1.77,-0.07234075712530942
2019-10-24,0.010188742957151964,53.5520780348,5709.187391855223,1.77,-0.00592195493648249
2019-10-25,0.09639578579241763,58.9712706654,6671.427802075926,1.80,0.16854244644228064
2019-10-26,-0.038731249365059416,56.7309058001,7244.6212702132625,1.80,0.08591766037833433
2019-10-27,0.05189806840726972,59.7528690051,7490.3188780444025,1.80,0.03391448616387193
2019-10-28,-0.003419744030447602,59.5488784845,7220.153393724398,1.85,-0.03606862254047863
2019-10-29,0.005283789870655286,59.8643549672,7334.272784263143,1.84,0.01580567396780455
2019-10-30,-0.020993284014252236,58.6207053801,7166.690229185897,1.78,-0.022849239455181063
2019-10-31,0.011448889720381264,59.2957039906,7161.639832726827,1.69,-0.0007047041657392129
2019-11-01,0.02623304237751348,60.8717931287,7218.617197852632,1.73,0.007955910441828277
2019-11-02,0.023296715129189145,62.3065536655,7270.491286076545,1.73,0.007186153081970443
2019-11-03,0.018459433241779705,63.4673784548,7202.709907254242,1.73,-0.009322805867618411
2019-11-04,-0.00527394518140276,63.133536087,7325.394936613858,1.79,0.017033176532078923
2019-11-05,-0.002363785279101859,62.9844782036,7232.011413256228,1.86,-0.012747916551349294
2019-11-06,0.019252350060980566,64.2088253896,7226.627644152193,1.81,-0.0007444359247229599
2019-11-07,-0.011016840285435392,63.5053292828,7189.5706411389965,1.92,-0.0051278417593832015
2019-11-08,-0.04204283681599632,60.8907327336,6800.577117500896,1.94,-0.05410525093282552
2019-11-09,0.020988568107822098,62.1822481431,6793.096014525811,1.94,-0.0011000688391331198
2019-11-10,0.027291508411598168,63.9026650952,6990.506304498562,1.94,0.029060429817365178
2019-11-11,-0.03135756469513092,61.9299249501,6740.598756268521,1.94,-0.03574956338559037
2019-11-12,0.005277578757810934,62.2576289878,6794.158984074244,1.92,0.007945915450895675
2019-11-13,0.04817391885227121,65.3302385762,6779.245012943506,1.88,-0.0021951165943712657
2019-11-14,0.0031778468780028013,65.5381782962,6702.125601412106,1.82,-0.011375811227379504
2019-11-15,-0.056170179786824266,61.958367515,6541.472321505622,1.84,-0.023970496743993503
2019-11-16,0.0007904223509551105,62.0073601534,6579.627972608965,1.84,0.005832884284766196
2019-11-17,0.0022121302196091244,62.1446803377,6594.938836400236,1.84,0.0023270105627567744
2019-11-18,-0.04559016224475943,59.375106624,6394.973988421339,1.81,-0.0303209556509012
2019-11-19,-0.006946223882008961,58.9641029547,6318.149000854142,1.79,-0.01201333855404177
2019-11-20,-0.012156875949351869,58.2516232083,6169.5778024435995,1.73,-0.02351498807490258
2019-11-21,-0.07310927881530599,54.1448400775,5898.039905623522,1.77,-0.044012395258639724
2019-11-22,-0.054622888002728784,51.2666165829,5652.081910291204,1.77,-0.0417016499155606
2019-11-23,0.01632947293493972,52.110645933,5717.069806783412,1.77,0.011498045768565284
2019-11-24,-0.07754992260912333,48.2221925674,5473.189196281808,1.77,-0.042658323012294656
2019-11-25,0.04021381232077697,50.200910005,5550.660833620045,1.76,0.014154752295218878
2019-11-26,0.029812868163160647,51.7200759448,5593.59180852144,1.74,0.007734389866043352
2019-11-27,0.07884499576174996,55.9630145485,5862.257529889107,1.77,0.048030984484490634
2019-11-28,-0.03512742624874113,54.031304513,5807.414508207545,1.77,-0.00935527335705426
2019-11-29,0.03496967487547631,55.9541870024,6051.821784036215,1.78,0.04208538506821797
2019-11-30,-0.02146483787440605,54.76593786,5896.0615452827005,1.78,-0.025737743825237254
2019-12-01,-0.021775704085986402,53.5862617567,5767.319069909941,1.78,-0.02183533438109427
2019-12-02,0.008277505775441637,54.0316632113,5699.108203129684,1.83,-0.011827135962727792
2019-12-03,-0.01126132336427286,53.426608433,5701.598555416455,1.72,0.00043697227671586977
2019-12-04,-0.007046800477977787,53.0514451859,5653.394453782094,1.77,-0.008454488888658714
2019-12-05,0.017842159029089734,54.0064922223,5816.4069449859535,1.80,0.02883444495807373
2019-12-06,0.004423026656713575,54.2458934257,5902.746074522214,1.84,0.014844066165399518
2019-12-07,0.008765173660860947,54.7234580127,5907.590957899412,1.84,0.0008207846510812833
2019-12-08,-0.008811726019359275,54.2433682102,5900.466435302889,1.84,-0.0012059945665324789
2019-12-09,0.0012443989319703352,54.3109106158,5772.93280085337,1.83,-0.02161416149856843
2019-12-10,-0.024284952921105354,53.0078590216,5669.251067837633,1.85,-0.017959975733722523
2019-12-11,0.0011364054747137846,53.0681316834,5627.169903481367,1.79,-0.0074227025497243014
2019-12-12,0.004488706888258314,53.3068743938,5646.169140933349,1.90,0.003376339754772162
2019-12-13,-0.012975298923013582,52.6196697481,5671.294822215366,1.82,0.004450040488490224
2019-12-14,-0.019688058285822103,51.5938222323,5550.7200492688935,1.82,-0.021260536919040472
2019-12-15,-0.013048839834343023,50.9249561634,5572.429542652247,1.82,0.003911113007079624
2019-12-16,-0.02941717166703185,49.448707966,5438.173503254431,1.89,-0.024092909272373723
2019-12-17,-0.09551625869644374,44.9441078918,5265.547563087611,1.89,-0.0317433675228482
2019-12-18,0.06437272927288763,47.9324342848,5784.056931151999,1.92,0.09847206997031571
2019-12-19,-0.0014051291418655815,47.865130321,5740.433161064814,1.92,-0.0075420713534534245
2019-12-20,-0.016997408843446932,47.0584225249,5743.661591174287,1.92,0.0005624018290763292
